30;424969;81317794;2023-01-02;0;53751;53330;421;0;0;2025-05-05 00:00:00
31;424969;81317794;2023-01-03;0;82878;82165;713;0;0;2025-05-05 00:00:00
32;424969;81317794;2023-01-04;0;32069;31753;316;0;0;2025-05-05 00:00:00
33;424969;81317794;2023-01-05;0;74071;73371;700;0;0;2025-05-05 00:00:00
34;424969;81317794;2023-01-06;0;44097;43741;356;0;0;2025-05-05 00:00:00
35;424969;81317794;2023-01-09;0;94122;93525;597;0;0;2025-05-05 00:00:00
36;424969;81317794;2023-01-10;0;65234;64652;582;0;0;2025-05-05 00:00:00
37;424969;81317794;2023-01-11;0;30817;30298;519;0;0;2025-05-05 00:00:00
38;424969;81317794;2023-01-12;0;72850;72215;635;0;0;2025-05-05 00:00:00
39;424969;81325886;2023-01-13;0;95866;94044;1822;0;0;2025-05-05 00:00:00
40;424969;81325886;2023-01-16;0;132487;131680;807;0;0;2025-05-05 00:00:00
41;424969;81325886;2023-01-17;0;97864;95651;2213;0;0;2025-05-05 00:00:00
42;424969;81325886;2023-01-18;0;78605;77630;975;0;0;2025-05-05 00:00:00
43;424969;81325886;2023-01-19;0;95812;94835;977;0;0;2025-05-05 00:00:00
44;424969;81325886;2023-01-20;0;98396;97498;898;0;0;2025-05-05 00:00:00
45;424969;81325886;2023-01-23;0;105927;104723;1204;0;0;2025-05-05 00:00:00
46;424969;81325886;2023-01-24;0;87617;86745;872;0;0;2025-05-05 00:00:00
47;424969;81325886;2023-01-25;0;43134;42681;453;0;0;2025-05-05 00:00:00
48;424969;81325886;2023-01-26;0;51136;50508;628;0;0;2025-05-05 00:00:00
49;424969;81317794;2023-01-27;0;68273;67629;644;0;0;2025-05-05 00:00:00
50;424969;81317794;2023-01-30;0;88384;87529;855;0;0;2025-05-05 00:00:00
51;424969;81317794;2023-01-31;0;62865;62121;744;0;0;2025-05-05 00:00:00
52;424969;81317794;2023-02-01;0;56574;56018;556;0;0;2025-05-05 00:00:00
53;424969;81317794;2023-02-02;0;60767;60205;562;0;0;2025-05-05 00:00:00
54;424969;81317794;2023-02-03;0;70467;69781;686;0;0;2025-05-05 00:00:00
55;424969;81317794;2023-02-06;0;80499;79784;715;0;0;2025-05-05 00:00:00
56;424969;81317794;2023-02-07;0;72799;72072;727;0;0;2025-05-05 00:00:00
57;424969;81317794;2023-02-08;0;42865;42511;354;0;0;2025-05-05 00:00:00
58;424969;81317794;2023-02-09;0;55401;54909;492;0;0;2025-05-05 00:00:00
59;424969;81317794;2023-02-10;0;73741;73162;579;0;0;2025-05-05 00:00:00
60;424969;81317794;2023-02-13;0;88806;87844;962;0;0;2025-05-05 00:00:00
61;424969;81317794;2023-02-14;0;77171;76252;919;0;0;2025-05-05 00:00:00
62;424969;81317794;2023-02-15;0;38029;37509;520;0;0;2025-05-05 00:00:00
63;424969;81317794;2023-02-16;0;57193;56557;636;0;0;2025-05-05 00:00:00
64;424969;81317794;2023-02-17;0;72150;71357;793;0;0;2025-05-05 00:00:00
65;424969;81317794;2023-02-22;0;110405;109475;930;0;0;2025-05-05 00:00:00
66;424969;81317794;2023-02-23;0;59995;59554;441;0;0;2025-05-05 00:00:00
67;424969;81317794;2023-02-24;0;25223;25047;176;0;0;2025-05-05 00:00:00
68;424969;81317794;2023-02-27;0;98340;97472;868;0;0;2025-05-05 00:00:00
69;424969;81317794;2023-02-28;0;75375;74207;1168;0;0;2025-05-05 00:00:00
70;424969;81317794;2023-03-01;0;41149;40671;478;0;0;2025-05-05 00:00:00
71;424969;81317794;2023-03-02;0;60757;60147;610;0;0;2025-05-05 00:00:00
72;424969;81317794;2023-03-03;0;81456;80589;867;0;0;2025-05-05 00:00:00
73;424969;81317794;2023-03-06;0;97127;96064;1063;0;0;2025-05-05 00:00:00
74;424969;81317794;2023-03-07;0;81958;81011;947;0;0;2025-05-05 00:00:00
75;424969;81317794;2023-03-08;0;36906;36534;372;0;0;2025-05-05 00:00:00
76;424969;81317794;2023-03-09;0;73778;73022;756;0;0;2025-05-05 00:00:00
77;424969;81317794;2023-03-10;0;70728;70114;614;0;0;2025-05-05 00:00:00
78;424969;81317794;2023-03-13;0;96914;96113;801;0;0;2025-05-05 00:00:00
79;424969;81317794;2023-03-14;0;91308;90461;847;0;0;2025-05-05 00:00:00
80;424969;81317794;2023-03-15;0;46953;46369;584;0;0;2025-05-05 00:00:00
81;424969;81317794;2023-03-16;0;48234;47691;543;0;0;2025-05-05 00:00:00
82;424969;81317794;2023-03-17;0;73656;72635;1021;0;0;2025-05-05 00:00:00
83;424969;81317794;2023-03-20;0;90431;89084;1347;0;0;2025-05-05 00:00:00
84;424969;81317794;2023-03-21;0;82146;81428;718;0;0;2025-05-05 00:00:00
85;424969;81317794;2023-03-22;0;31504;31158;346;0;0;2025-05-05 00:00:00
86;424969;81317794;2023-03-23;0;79157;78270;887;0;0;2025-05-05 00:00:00
87;424969;81317794;2023-03-24;0;67207;66668;539;0;0;2025-05-05 00:00:00
88;424969;81317794;2023-03-27;0;91750;90721;1029;0;0;2025-05-05 00:00:00
89;424969;81317794;2023-03-28;0;90673;89813;860;0;0;2025-05-05 00:00:00
90;424969;81317794;2023-03-29;0;42232;41754;478;0;0;2025-05-05 00:00:00
91;424969;81317794;2023-03-30;0;74712;74084;628;0;0;2025-05-05 00:00:00
92;424969;81317794;2023-03-31;0;76650;75783;867;0;0;2025-05-05 00:00:00
93;424969;81317794;2023-04-03;0;105655;104849;806;0;0;2025-05-05 00:00:00
